epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
84,6908.54,1.36433,0.88019,0.88838,0.48102,0.36787,0.37427,0.22173,1.37646,0.96004,0.90022,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,6989.56,1.36243,0.87519,0.88849,0.48659,0.36766,0.37397,0.22129,1.37546,0.95838,0.89964,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,7069.28,1.35731,0.87606,0.88947,0.47889,0.36971,0.37579,0.22052,1.37518,0.9579,0.89994,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,7149.48,1.35957,0.87214,0.88636,0.4842,0.37052,0.377,0.21998,1.37596,0.95693,0.90015,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,7230.14,1.35305,0.86763,0.88755,0.47775,0.37177,0.37742,0.21844,1.37527,0.95751,0.90015,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,7309.49,1.35785,0.87027,0.88444,0.47232,0.37837,0.37823,0.21774,1.37429,0.95848,0.89959,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,7389.24,1.35852,0.86748,0.88702,0.46691,0.37797,0.37549,0.2174,1.37385,0.95753,0.89936,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,7512.79,1.35776,0.86527,0.89282,0.46492,0.37771,0.37373,0.21679,1.37882,0.96045,0.90013,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,7588.38,1.35367,0.86602,0.88822,0.46756,0.37527,0.37586,0.21662,1.37908,0.95999,0.89984,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,7663.73,1.3535,0.86309,0.88836,0.45922,0.37858,0.37573,0.21804,1.38026,0.96053,0.90034,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,7739.93,1.34955,0.86375,0.88739,0.46072,0.37835,0.37225,0.21749,1.38173,0.96168,0.901,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,7816.15,1.34944,0.86096,0.88669,0.46697,0.37593,0.37744,0.21716,1.38221,0.96241,0.90078,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,7892.77,1.3458,0.86153,0.88621,0.46294,0.37923,0.37325,0.21642,1.3826,0.96235,0.90061,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,7969.57,1.34552,0.85882,0.88562,0.45853,0.37698,0.3749,0.21762,1.38154,0.96239,0.90045,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,8046.43,1.34179,0.85938,0.88418,0.46111,0.37613,0.37171,0.21697,1.38171,0.96314,0.90034,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,8124.44,1.34137,0.85671,0.88613,0.46248,0.37529,0.37096,0.21629,1.38217,0.96284,0.90043,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,8201.45,1.33796,0.85717,0.88411,0.46478,0.37367,0.37208,0.21727,1.38198,0.9635,0.90036,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
101,,1.33768,0.85463,0.88392,,,0.37218,0.21692,1.38294,0.96427,0.89852,,,,,,,,
102,,1.33374,0.85508,0.88407,,,0.37337,0.21542,1.38457,0.96218,0.89685,,,,,,,,
