epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
71,6964.03,1.39924,0.92454,0.90158,0.4892,0.36172,0.37424,0.21825,1.38258,0.96405,0.9035,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,7057.19,1.39294,0.91963,0.90035,0.47726,0.37339,0.37696,0.21987,1.38156,0.96031,0.90241,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,7150.67,1.38723,0.9151,0.9006,0.48787,0.36549,0.37624,0.21885,1.38428,0.96262,0.90344,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,7243.51,1.39207,0.91326,0.89658,0.49561,0.36406,0.37905,0.22059,1.38122,0.95932,0.90297,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,7337.07,1.38361,0.90846,0.89841,0.49495,0.36425,0.37713,0.21877,1.38233,0.95911,0.9032,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,7429.92,1.39676,0.91183,0.89915,0.49925,0.36301,0.37581,0.2177,1.38319,0.961,0.90245,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,7522.48,1.38049,0.90013,0.8971,0.48231,0.37305,0.37925,0.21934,1.38304,0.95959,0.90287,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,7614.94,1.38503,0.90287,0.89553,0.49953,0.36334,0.37902,0.22025,1.38403,0.95808,0.90316,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,7707.99,1.37768,0.89718,0.89702,0.49019,0.36292,0.37611,0.21893,1.38033,0.95795,0.90177,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,7801.87,1.38866,0.90643,0.89664,0.48284,0.36717,0.37708,0.21872,1.38192,0.95891,0.90168,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,7896.63,1.37305,0.89246,0.89401,0.48485,0.37269,0.37795,0.22005,1.38012,0.9568,0.90156,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,7989.24,1.37299,0.89167,0.89396,0.48457,0.37191,0.3778,0.2199,1.37903,0.95709,0.90161,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,8105.61,1.37474,0.89048,0.89381,0.48321,0.37035,0.37632,0.21927,1.38072,0.95795,0.9014,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,8198.61,1.37311,0.88795,0.89351,0.48428,0.36986,0.37788,0.21934,1.37895,0.95703,0.90056,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,8292.2,1.37069,0.88418,0.89341,0.48229,0.37005,0.37806,0.21938,1.38142,0.95779,0.90161,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,8385.69,1.36617,0.88709,0.89397,0.48373,0.37035,0.3777,0.21898,1.38056,0.9563,0.9015,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,8478.74,1.36657,0.88164,0.89068,0.48509,0.37062,0.37778,0.21957,1.3818,0.95706,0.9018,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,8572.14,1.35971,0.87682,0.89176,0.48253,0.37128,0.37648,0.21959,1.38179,0.95755,0.90133,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,8665.02,1.36549,0.87888,0.88838,0.48042,0.37052,0.37746,0.21891,1.38042,0.95786,0.9008,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,8758.62,1.36576,0.87725,0.89149,0.48848,0.36804,0.37715,0.21915,1.37877,0.95696,0.9003,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
