epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
118,,1.20486,0.66587,0.84064,,,0.40478,0.23929,1.33981,0.94352,0.87751,,,,,,,,
119,,1.20363,0.66664,0.84089,,,0.40429,0.237,1.33948,0.94478,0.87742,,,,,,,,
120,,1.20239,0.66275,0.84024,,,0.4036,0.23964,1.34105,0.94534,0.87753,,,,,,,,
121,,1.20116,0.66122,0.83991,,,0.40477,0.2389,1.34152,0.94499,0.87737,,,,,,,,
122,,1.20172,0.65967,0.83957,,,0.40276,0.23708,1.34119,0.94625,0.8775,,,,,,,,
123,,1.19948,0.66044,0.83982,,,0.40325,0.2364,1.34276,0.94681,0.87741,,,,,,,,
124,,1.19825,0.65655,0.83917,,,0.40343,0.23873,1.34323,0.94646,0.87752,,,,,,,,
125,,1.19701,0.65502,0.83884,,,0.40366,0.2383,1.34291,0.94772,0.87736,,,,,,,,
126,,1.19757,0.65349,0.8385,,,0.40486,0.23827,1.34458,0.94828,0.87749,,,,,,,,
127,,1.19634,0.65426,0.83875,,,0.4024,0.23829,1.34504,0.94793,0.8774,,,,,,,,
128,,1.1951,0.65037,0.8381,,,0.40354,0.2361,1.34472,0.94919,0.87751,,,,,,,,
129,,1.19387,0.64883,0.83776,,,0.40373,0.23686,1.34639,0.94975,0.87735,,,,,,,,
130,,1.19442,0.64731,0.83743,,,0.40143,0.23603,1.34686,0.9494,0.87748,,,,,,,,
131,,1.19319,0.64808,0.83767,,,0.40355,0.23817,1.34653,0.95066,0.87739,,,,,,,,
132,,1.19195,0.64419,0.83702,,,0.40168,0.23735,1.3482,0.95122,0.8775,,,,,,,,
133,,1.19072,0.64266,0.83669,,,0.40114,0.23637,1.34867,0.95087,0.87734,,,,,,,,
134,,1.19128,0.64114,0.83635,,,0.40456,0.23547,1.34835,0.95213,0.87747,,,,,,,,
135,,1.18904,0.64191,0.8366,,,0.4045,0.23611,1.35002,0.95269,0.87738,,,,,,,,
136,,1.18781,0.63998,0.83595,,,0.40375,0.23606,1.35049,0.95234,0.87749,,,,,,,,
137,,1.18657,0.64075,0.83562,,,0.40347,0.23717,1.35016,0.9536,0.87733,,,,,,,,
138,,1.18713,0.63922,0.83528,,,0.40329,0.23679,1.35193,0.95416,0.87746,,,,,,,,
